rank,model,n_scored,n_unscored,coverage,mae,rmse,mape,r2,bias,alpha_lambda,within_10_cycles,mae_across_folds_std,mae_worst_fold,n_folds
1,random_forest,495,0,1.0,10.0133,13.6495,54.5615,0.8025,-2.423,0.5051,0.6505,4.479,14.5532,5
2,transformer,400,95,0.8081,10.7772,12.894,49.7948,0.7473,-1.572,0.365,0.5,1.5823,13.3515,5
3,lightgbm,495,0,1.0,11.6811,15.0837,57.2303,0.7589,-3.8343,0.4626,0.5475,4.4292,17.2976,5
4,gru,400,95,0.8081,11.8382,13.9419,56.2548,0.7046,-3.4713,0.32,0.4475,3.5953,16.7982,5
5,xgboost,495,0,1.0,12.0097,15.455,58.1672,0.7469,-3.7748,0.4222,0.5535,4.7065,18.1195,5
6,soh_analogue,495,0,1.0,12.2394,17.1565,36.8133,0.688,-3.4434,0.5051,0.6,4.989,20.7361,5
7,cohort_median_life,495,0,1.0,13.7333,17.4288,68.7055,0.6781,-0.9616,0.4202,0.6303,12.1711,31.5,5
8,elastic_net,495,0,1.0,17.6721,21.5136,67.2775,0.5095,-1.5301,0.2727,0.3434,6.6228,27.622,5
9,ridge,495,0,1.0,21.8848,24.9599,97.2163,0.3397,0.731,0.1051,0.1758,9.3437,29.2264,5
10,capacity_fade_extrapolation,495,0,1.0,23.9294,32.4802,113.7424,-0.1181,-2.5113,0.2101,0.3111,7.6005,32.517,5
