rank,model,n_scored,n_unscored,coverage,mae,rmse,mape,r2,bias,alpha_lambda,within_10_cycles,mae_across_folds_std,mae_worst_fold,n_folds
1,random_forest,400,0,1.0,8.6769,10.6778,63.756,0.8267,0.0004,0.4825,0.6625,2.3099,10.985,5
2,soh_analogue,400,0,1.0,9.1775,12.3059,38.2882,0.7699,0.3975,0.5225,0.6775,2.7333,13.4528,5
3,lightgbm,400,0,1.0,9.4405,11.9576,65.2622,0.7827,-0.6672,0.4725,0.635,3.4478,14.6346,5
4,xgboost,400,0,1.0,9.8175,12.2315,66.4631,0.7726,-0.6019,0.4175,0.62,3.535,15.3324,5
5,transformer,400,0,1.0,10.7772,12.894,49.7948,0.7473,-1.572,0.365,0.5,1.5823,13.3515,5
6,gru,400,0,1.0,11.8382,13.9419,56.2548,0.7046,-3.4713,0.32,0.4475,3.5953,16.7982,5
7,cohort_median_life,400,0,1.0,13.4325,17.1025,80.5352,0.5555,-1.5225,0.3775,0.6375,12.111,31.5,5
8,elastic_net,400,0,1.0,14.4738,17.2308,74.9028,0.5488,-1.156,0.29,0.385,6.2236,23.8655,5
9,ridge,400,0,1.0,19.6778,21.9359,111.8778,0.2687,1.7369,0.0825,0.17,8.5115,27.8854,5
10,capacity_fade_extrapolation,400,0,1.0,21.3935,30.0767,130.7177,-0.3748,3.776,0.1925,0.3375,5.3672,28.03,5
