outer_fold,model,selected_by_inner_loop,n_scored,n_unscored,mae,rmse,r2,bias,alpha_lambda
B0005,cohort_median_life,False,122,0,21.9385,22.7467,0.5828,-21.9385,0.0082
B0005,capacity_fade_extrapolation,False,122,0,16.1102,22.0987,0.6062,-4.8761,0.3361
B0005,soh_analogue,False,122,0,9.8934,13.8478,0.8454,-5.9262,0.6721
B0005,elastic_net,False,122,0,14.1038,20.139,0.673,-12.6227,0.541
B0005,ridge,False,122,0,18.4701,22.3667,0.5966,-18.4701,0.0082
B0005,random_forest,False,122,0,14.5532,19.6385,0.689,-14.4824,0.5164
B0005,xgboost,False,122,0,15.1864,20.9486,0.6462,-14.9784,0.4754
B0005,lightgbm,False,122,0,14.7275,20.0664,0.6753,-14.6642,0.4672
B0005,gru,False,103,19,11.8453,13.8859,0.7819,-11.8287,0.2913
B0005,transformer,True,103,19,9.9517,12.8132,0.8143,-9.9362,0.5728
B0006,cohort_median_life,False,106,0,8.1179,8.2486,0.9273,-8.1179,0.6038
B0006,capacity_fade_extrapolation,False,106,0,30.4215,39.0529,-0.629,-1.0799,0.1132
B0006,soh_analogue,False,106,0,10.6085,13.0231,0.8189,8.9764,0.4717
B0006,elastic_net,False,106,0,15.3787,19.3608,0.5996,9.1069,0.2547
B0006,ridge,False,106,0,26.8374,27.3939,0.1985,26.8374,0.0
B0006,random_forest,True,106,0,4.5864,5.4274,0.9685,2.1345,0.7736
B0006,xgboost,False,106,0,7.4166,8.8155,0.917,-0.7912,0.6604
B0006,lightgbm,False,106,0,6.8623,8.5338,0.9222,-1.4156,0.7642
B0006,gru,False,87,19,10.6097,11.7014,0.7829,0.2631,0.5172
B0006,transformer,False,87,19,10.211,11.7055,0.7827,3.5249,0.3218
B0018,cohort_median_life,False,94,0,9.5,9.5,0.8774,9.5,0.4894
B0018,capacity_fade_extrapolation,False,94,0,17.0294,23.51,0.2493,-2.482,0.1915
B0018,soh_analogue,False,94,0,8.2553,10.7307,0.8436,5.9362,0.5638
B0018,elastic_net,False,94,0,11.1264,11.7929,0.8111,11.1264,0.4362
B0018,ridge,False,94,0,7.4393,9.1318,0.8867,6.3554,0.5319
B0018,random_forest,True,94,0,7.8005,8.5509,0.9007,7.8005,0.4468
B0018,xgboost,False,94,0,7.8541,8.6249,0.899,7.8541,0.4894
B0018,lightgbm,False,94,0,8.0541,8.7748,0.8954,8.0436,0.4894
B0018,gru,False,75,19,11.4381,11.6601,0.7099,11.4381,0.3467
B0018,transformer,False,75,19,10.8473,11.0469,0.7396,10.8473,0.3333
B0033,cohort_median_life,False,101,0,0.9901,0.995,0.9988,-0.9901,0.9604
B0033,capacity_fade_extrapolation,False,101,0,26.8607,35.988,-0.5237,-1.5202,0.2376
B0033,soh_analogue,False,101,0,14.4356,20.6551,0.4981,-13.703,0.495
B0033,elastic_net,False,101,0,27.622,30.0662,-0.0635,-27.622,0.0099
B0033,ridge,False,101,0,29.0226,31.0785,-0.1363,-29.0226,0.0099
B0033,random_forest,True,101,0,14.2663,16.8382,0.6664,-8.8331,0.2376
B0033,xgboost,False,101,0,18.1195,19.9859,0.5301,-4.1533,0.1683
B0033,lightgbm,False,101,0,17.2976,19.3172,0.561,-2.6889,0.2574
B0033,gru,False,82,19,16.7982,19.5644,0.3168,-16.7315,0.0122
B0033,transformer,False,82,19,13.3515,16.1693,0.5333,-12.6805,0.1951
B0034,cohort_median_life,True,72,0,31.5,31.5,-1.2973,31.5,0.0
B0034,capacity_fade_extrapolation,False,72,0,32.517,40.5172,-2.8008,-2.0404,0.125
B0034,soh_analogue,False,72,0,20.7361,26.4614,-0.6212,-15.375,0.2083
B0034,elastic_net,False,72,0,21.6829,22.2098,-0.1421,21.6829,0.0
B0034,ridge,False,72,0,29.2264,29.4427,-1.007,29.2264,0.0
B0034,random_forest,False,72,0,7.2333,9.5301,0.7897,6.9463,0.5417
B0034,xgboost,False,72,0,10.2437,11.2553,0.7067,-3.8347,0.25
B0034,lightgbm,False,72,0,10.4701,12.2764,0.6511,-6.1582,0.2639
B0034,gru,False,53,19,6.7335,9.1053,0.6457,6.0584,0.4906
B0034,transformer,False,53,19,9.2287,11.5574,0.4292,5.9281,0.3396
